"balance","var"
-0.673076923076923,0.835235523637943
-0.507246376811594,-0.597651913907004
-2.02083333333333,-0.569591563779405
-2.4,NA
-0.347368421052632,0.298894012250196
0.0606060606060606,-0.531903143998758
NA,NA
-2.06666666666667,0.447841695477278
0.45,0.486501552782943
-0.0714285714285716,-1.32805732697661
-1,NA
0.227272727272727,-0.435198276855138
-0.660714285714286,0.459370455663639
0.5,-0.517638090205041
-0.681818181818182,-0.279491619122017
-0.41304347826087,0.17368530416368
1.18181818181818,NA
-0.0727650727650728,-0.116473930112232
-1.4047619047619,0.307759957236281
-0.171428571428571,-0.97800360275069
-0.75,0.877065559156338
-1.3,-0.209137508268332
NA,NA
-1.7027027027027,1.13553142841702
-1.41666666666667,0.428340564055464
-2.25,0.188990665499248
NA,NA
-0.125,-0.0300324333616906
0.0615384615384615,0.173822069162888
-0.666666666666667,0.0224286213903566
-1.65454545454545,0.133333395680101
-1.55,0.602115223238284
0,NA
0.833333333333333,-0.998297316040119
-1.63333333333333,-0.228583371588276
-0.102564102564103,-0.903096710273967
-0.727272727272727,0.874410282909401
-1.625,0.730281471630247
-1.375,-0.0162913704859444
-0.984848484848485,-1.04232753287451
-1.31318681318681,0.433222373903719
-0.946666666666667,-0.214919747990364
0.666666666666667,NA
0.130952380952381,-0.528804498689092
-2.56521739130435,0.469078316807114
-0.781609195402299,0.7725151734042
-0.513888888888889,0.696132917286
-2.38095238095238,-0.212937029188438
NA,NA
-0.825,0.768667402056425
0.510416666666667,-1.30823811335496
0.305263157894737,-0.449796642084778
-0.747252747252747,0.498457051443186
0.857142857142857,-1.0330051418146
-0.281609195402299,1.08446791089178
-0.81203007518797,-0.0868544925691073
-0.444444444444444,0.363915261727431
-0.981481481481482,0.23025640391899
-0.75,0.153708798216374
NA,NA
-0.333333333333333,NA
-1.16666666666667,-0.647394602201963
