"balance","X.var...hulk..sd.score..x....hulk..sd.score..y...2"
-0.673076923076923,1.79973802078937
-0.507246376811594,0.815223736447824
-2.02083333333333,2.36646178135584
-2.4,NA
-0.347368421052632,1.52387304694305
0.0606060606060606,1.08244815292711
NA,NA
-2.06666666666667,1.77607915226136
0.45,2.58517634835472
-0.0714285714285716,0.664028663488306
-1,NA
0.227272727272727,1.44234400981916
-0.660714285714286,1.76584549283947
0.5,0.965925826289068
-0.681818181818182,1.86214723392952
-0.41304347826087,1.52560889757787
1.18181818181818,NA
-0.0727650727650728,1.63124649279553
-1.4047619047619,1.65877395573179
-0.171428571428571,1.71374667276693
-0.75,1.96978613618029
-1.3,1.74773642664966
NA,NA
-1.7027027027027,2.37615457456744
-1.41666666666667,1.82707117029158
-2.25,2.00312236359068
NA,NA
-0.125,1.39342109188987
0.0615384615384615,1.19977290312648
-0.666666666666667,1.59235314077937
-1.65454545454545,1.56818108489915
-1.55,1.76913906640792
0,NA
0.833333333333333,2.36997735140703
-1.63333333333333,1.75653700759283
-0.102564102564103,2.57286869869663
-0.727272727272727,2.39122198329149
-1.625,2.52161061013301
-1.375,2.16839258471226
-0.984848484848485,2.10230259652145
-1.31318681318681,2.22313899541947
-0.946666666666667,1.61300517941334
0.666666666666667,NA
0.130952380952381,1.63066235147249
-2.56521739130435,1.17967440396954
-0.781609195402299,2.13035389172148
-0.513888888888889,1.55222591652223
-2.38095238095238,1.52068207696731
NA,NA
-0.825,1.68154556525458
0.510416666666667,1.2314693258671
0.305263157894737,1.06155834757646
-0.747252747252747,1.64059383932454
0.857142857142857,1.05102505473215
-0.281609195402299,2.02031685705845
-0.81203007518797,1.42355836496926
-0.444444444444444,1.55009317670516
-0.981481481481482,1.82566201510846
-0.75,1.42314560089181
NA,NA
-0.333333333333333,NA
-1.16666666666667,0.901047570290607
